Year,RoundNumber,EventName,TrainingRaces,TrainingWindows,ValidationWindows,FeaturesUsed,MAE,RMSE,Baseline MAE,Baseline improvement %,TrainingSeconds
2022,13,Hungarian Grand Prix,91,17548,247,148,1.0685926741985345,1.7502806510060793,1.2874493927125505,16.999248261937723,18.21526820003055
2022,14,Belgian Grand Prix,92,17795,126,148,1.2548111773004431,1.8968641483692499,1.619047619047619,22.496956696149102,20.097967299981974
2022,15,Dutch Grand Prix,93,17921,250,148,0.9205353297146289,1.4478336568423247,0.928,0.8043825738546467,18.317336600041017
2022,16,Italian Grand Prix,94,18171,164,148,1.3260245543885836,2.0722329166454667,1.4451219512195121,8.241338852435565,18.465684200054966
2022,17,Singapore Grand Prix,95,18335,156,148,0.8889573351860818,1.4012369992218332,0.6410256410256411,-38.677344289028746,18.855551999993622
2022,18,Japanese Grand Prix,96,18491,72,148,1.5377940096966378,2.529288138052935,1.4722222222222223,-4.453932734111241,18.742084500030614
2022,19,United States Grand Prix,97,18563,175,148,1.642487105426296,2.3671536044467087,1.8914285714285715,13.16155787021094,18.844423300004564
2022,20,Mexico City Grand Prix,98,18738,253,148,0.8225875422560616,1.2392328910975852,0.8063241106719368,-2.01698440724685,19.292181400000118
2022,21,São Paulo Grand Prix,99,18991,230,148,1.5180216240787983,2.3331161815917154,1.7739130434782608,14.425251583793235,17.581478699925356
2022,22,Abu Dhabi Grand Prix,100,19221,194,148,1.062832384790192,1.6636758786298487,1.2835051546391754,17.192978855703927,18.881371599971317
2023,1,Bahrain Grand Prix,101,19415,184,148,0.8887418985540042,1.3673845377132263,1.0271739130434783,13.476979188393242,18.22087790002115
2023,2,Saudi Arabian Grand Prix,102,19599,167,148,0.9073870890308517,1.3629640046450715,0.8263473053892215,-9.806988310255253,18.589771199971437
2023,3,Australian Grand Prix,103,19766,171,148,0.7112689883831128,1.1235969777477028,0.6549707602339181,-8.595533047778837,19.434336200007237
2023,4,Azerbaijan Grand Prix,104,19937,168,148,1.024236313196773,1.7907957320065382,0.7916666666666666,-29.377218509066083,18.423753199982457
2023,5,Miami Grand Prix,105,20105,200,148,1.1204361753315175,1.725572189832208,1.18,5.0477817515663075,17.025588700082153
2023,6,Monaco Grand Prix,106,20305,274,148,0.7725205206683171,1.108634016019522,0.4197080291970803,-84.06141101140773,16.108508600038476
2023,7,Spanish Grand Prix,107,20579,240,148,1.429812755654265,2.1667762946899654,1.625,12.011522728968307,17.754741900018416
2023,8,Canadian Grand Prix,108,20819,239,148,0.9287689043279703,1.8174938069737392,0.8158995815899581,-13.833727248402521,18.724687699927017
2023,9,Austrian Grand Prix,109,21058,248,148,0.9172806662035214,1.4750132615872376,0.9596774193548387,4.417812933414576,18.762221900047734
2023,10,British Grand Prix,110,21306,166,148,1.0698608249982153,1.5061601905147528,0.9518072289156626,-12.40309933525554,19.548487700056285
2023,11,Hungarian Grand Prix,111,21472,225,148,1.0110107852644525,1.6870101052922046,1.0755555555555556,6.001063353511648,20.96558770001866
2023,12,Belgian Grand Prix,112,21697,129,148,1.321951779669486,2.125433347294745,1.5348837209302326,13.87283859729107,19.327832099981606
2023,13,Dutch Grand Prix,113,21826,240,148,1.1884206458067028,1.7080800081049357,1.2,0.9649461827747619,17.590490899980068
